_id,startTimeWorkflowStart,endTimeWorkflowStart,roundTripTimeWorkflowStart,startTimeWorkflowEnd,endTimeWorkflowEnd,roundTripTimeWorkflowEnd,provider,concurrentFunctions,execution,functionName,functionCount,workflow_id,function_id,region,roundTripTime,endTime,startTime,details,succeed
670553101e39ad4b379c03ec,2024-10-08 15:43:10.214,2024-10-08 15:43:10.214,0,2024-10-08 15:43:10.214,2024-10-08 15:43:11.920,1706,GCP,1,4,TestFunction,1,1728402190216,670553101e39ad4b379c03ed,us-west1,722,2024-10-08 15:43:11.836,2024-10-08 15:43:11.114,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
67055370ed2f7d495ca67600,2024-10-08 15:44:46.685,2024-10-08 15:44:46.685,0,2024-10-08 15:44:46.685,2024-10-08 15:44:48.303,1618,GCP,3,1,TestFunction,3,1728402286686,67055370ed2f7d495ca67601,us-east4,765,2024-10-08 15:44:48.193,2024-10-08 15:44:47.428,"{'input_file_size': {'value': 3, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': '[[1.5],[2.1],[4.0]]', 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': '[true,false,true]', 'is_valid': False}}",False
67055370ed2f7d495ca67600,2024-10-08 15:44:46.685,2024-10-08 15:44:46.685,0,2024-10-08 15:44:46.685,2024-10-08 15:44:48.303,1618,GCP,3,1,TestFunction,3,1728402286686,67055370ed2f7d495ca67602,us-east4,766,2024-10-08 15:44:48.194,2024-10-08 15:44:47.428,"{'input_file_size': {'value': 3, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': '[[1.5],[2.1],[4.0]]', 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': '[true,false,true]', 'is_valid': False}}",False
67055370ed2f7d495ca67600,2024-10-08 15:44:46.685,2024-10-08 15:44:46.685,0,2024-10-08 15:44:46.685,2024-10-08 15:44:48.303,1618,GCP,3,1,TestFunction,3,1728402286686,67055370ed2f7d495ca67603,us-east4,766,2024-10-08 15:44:48.194,2024-10-08 15:44:47.428,"{'input_file_size': {'value': 3, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': '[[1.5],[2.1],[4.0]]', 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': '[true,false,true]', 'is_valid': False}}",False
67055373b16671626afbac1e,2024-10-08 15:44:49.733,2024-10-08 15:44:49.733,0,2024-10-08 15:44:49.733,2024-10-08 15:44:51.271,1538,GCP,1,1,TestFunction,1,1728402289735,67055373b16671626afbac1f,us-west1,691,2024-10-08 15:44:51.170,2024-10-08 15:44:50.479,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
67055376d6593541cff2bdca,2024-10-08 15:44:52.559,2024-10-08 15:44:52.559,0,2024-10-08 15:44:52.559,2024-10-08 15:44:54.138,1579,GCP,1,2,TestFunction,1,1728402292561,67055376d6593541cff2bdcb,us-west1,691,2024-10-08 15:44:54.052,2024-10-08 15:44:53.361,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
67055378aa8d562c76195b00,2024-10-08 15:44:55.100,2024-10-08 15:44:55.100,0,2024-10-08 15:44:55.100,2024-10-08 15:44:56.715,1615,GCP,1,3,TestFunction,1,1728402295102,67055378aa8d562c76195b01,us-west1,795,2024-10-08 15:44:56.631,2024-10-08 15:44:55.836,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
6705537c3031b642df1fd9d0,2024-10-08 15:44:57.848,2024-10-08 15:44:57.848,0,2024-10-08 15:44:57.848,2024-10-08 15:44:59.948,2100,GCP,1,4,TestFunction,1,1728402297850,6705537c3031b642df1fd9d1,us-west1,839,2024-10-08 15:44:59.818,2024-10-08 15:44:58.979,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
670559f83f6c4049d81bdb33,2024-10-08 16:12:36.871,2024-10-08 16:12:36.871,0,2024-10-08 16:12:36.871,2024-10-08 16:12:39.726,2855,GCP,1,1,TestFunction,1,1728403956873,670559f83f6c4049d81bdb34,us-east4,1810,2024-10-08 16:12:39.616,2024-10-08 16:12:37.806,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': '[1, 2, 4]', 'is_valid': False}, 'test_collection_of_string': {'value': ""['3', '3', '5']"", 'is_valid': False}, 'test_collection_of_bool': {'value': '[True, False, True]', 'is_valid': False}}",False
670559fb2e02b479a2f93912,2024-10-08 16:12:40.840,2024-10-08 16:12:40.840,0,2024-10-08 16:12:40.840,2024-10-08 16:12:43.384,2544,GCP,1,1,TestFunction,1,1728403960842,670559fb2e02b479a2f93913,us-west1,1739,2024-10-08 16:12:43.299,2024-10-08 16:12:41.560,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': '[1, 2, 4]', 'is_valid': False}, 'test_collection_of_string': {'value': ""['3', '3', '5']"", 'is_valid': False}, 'test_collection_of_bool': {'value': '[True, False, True]', 'is_valid': False}}",False
